Producto;Precio;Año;Mes;Origen
IPC mensual mes a mes;-0.4;2019;3;Eurostat
IPC mensual mes a mes;0.0;2019;4;Eurostat
IPC mensual mes a mes;0.4;2019;5;Eurostat
IPC mensual mes a mes;0.4;2019;6;Eurostat
IPC mensual mes a mes;-0.3;2019;7;Eurostat
IPC mensual mes a mes;0.1;2019;8;Eurostat
IPC mensual mes a mes;-0.1;2019;9;Eurostat
IPC mensual mes a mes;1.5;2019;10;Eurostat
IPC mensual mes a mes;0.0;2019;11;Eurostat
IPC mensual mes a mes;-0.2;2019;12;Eurostat
IPC anual año a año;2.0;2017;1;Eurostat
IPC anual año a año;2.0;2017;2;Eurostat
IPC anual año a año;2.0;2017;3;Eurostat
IPC anual año a año;2.0;2017;4;Eurostat
IPC anual año a año;2.0;2017;5;Eurostat
IPC anual año a año;2.0;2017;6;Eurostat
IPC anual año a año;2.0;2017;7;Eurostat
IPC anual año a año;2.0;2017;8;Eurostat
IPC anual año a año;2.0;2017;9;Eurostat
IPC anual año a año;2.0;2017;10;Eurostat
IPC anual año a año;2.0;2017;11;Eurostat
IPC anual año a año;2.0;2017;12;Eurostat
IPC anual año a año;1.7;2018;1;Eurostat
IPC anual año a año;1.7;2018;2;Eurostat
IPC anual año a año;1.7;2018;3;Eurostat
IPC anual año a año;1.7;2018;4;Eurostat
IPC anual año a año;1.7;2018;5;Eurostat
IPC anual año a año;1.7;2018;6;Eurostat
IPC anual año a año;1.7;2018;7;Eurostat
IPC anual año a año;1.7;2018;8;Eurostat
IPC anual año a año;1.7;2018;9;Eurostat
IPC anual año a año;1.7;2018;10;Eurostat
IPC anual año a año;1.7;2018;11;Eurostat
IPC anual año a año;1.7;2018;12;Eurostat
IPC anual año a año;0.8;2019;1;Eurostat
IPC anual año a año;0.8;2019;2;Eurostat
IPC anual año a año;0.8;2019;3;Eurostat
IPC anual año a año;0.8;2019;4;Eurostat
IPC anual año a año;0.8;2019;5;Eurostat
IPC anual año a año;0.8;2019;6;Eurostat
IPC anual año a año;0.8;2019;7;Eurostat
IPC anual año a año;0.8;2019;8;Eurostat
IPC anual año a año;0.8;2019;9;Eurostat
IPC anual año a año;0.8;2019;10;Eurostat
IPC anual año a año;0.8;2019;11;Eurostat
IPC anual año a año;0.8;2019;12;Eurostat
Ind. prec. agrícolas trimestre a trimestre;15.09;2017;1;Eurostat
Ind. prec. agrícolas trimestre a trimestre;15.09;2017;2;Eurostat
Ind. prec. agrícolas trimestre a trimestre;15.09;2017;3;Eurostat
Ind. prec. agrícolas trimestre a trimestre;30.89;2017;4;Eurostat
Ind. prec. agrícolas trimestre a trimestre;30.89;2017;5;Eurostat
