index;Producto;Precio;Año;Mes;Origen
0;IPC mensual mes a mes;-0.4;2019;03;Eurostat
1;IPC mensual mes a mes;0;2019;04;Eurostat
2;IPC mensual mes a mes;0.4;2019;05;Eurostat
3;IPC mensual mes a mes;0.4;2019;06;Eurostat
4;IPC mensual mes a mes;-0.3;2019;07;Eurostat
5;IPC mensual mes a mes;0.1;2019;08;Eurostat
6;IPC mensual mes a mes;-0.1;2019;09;Eurostat
7;IPC mensual mes a mes;1.5;2019;10;Eurostat
8;IPC mensual mes a mes;0;2019;11;Eurostat
9;IPC mensual mes a mes;-0.2;2019;12;Eurostat
12;IPC anual año a año;2;2017;1;Eurostat
13;IPC anual año a año;2;2017;2;Eurostat
14;IPC anual año a año;2;2017;3;Eurostat
15;IPC anual año a año;2;2017;4;Eurostat
16;IPC anual año a año;2;2017;5;Eurostat
17;IPC anual año a año;2;2017;6;Eurostat
18;IPC anual año a año;2;2017;7;Eurostat
19;IPC anual año a año;2;2017;8;Eurostat
20;IPC anual año a año;2;2017;9;Eurostat
21;IPC anual año a año;2;2017;10;Eurostat
22;IPC anual año a año;2;2017;11;Eurostat
23;IPC anual año a año;2;2017;12;Eurostat
24;IPC anual año a año;1.7;2018;1;Eurostat
25;IPC anual año a año;1.7;2018;2;Eurostat
26;IPC anual año a año;1.7;2018;3;Eurostat
27;IPC anual año a año;1.7;2018;4;Eurostat
28;IPC anual año a año;1.7;2018;5;Eurostat
29;IPC anual año a año;1.7;2018;6;Eurostat
30;IPC anual año a año;1.7;2018;7;Eurostat
31;IPC anual año a año;1.7;2018;8;Eurostat
32;IPC anual año a año;1.7;2018;9;Eurostat
33;IPC anual año a año;1.7;2018;10;Eurostat
34;IPC anual año a año;1.7;2018;11;Eurostat
35;IPC anual año a año;1.7;2018;12;Eurostat
36;IPC anual año a año;0.8;2019;1;Eurostat
37;IPC anual año a año;0.8;2019;2;Eurostat
38;IPC anual año a año;0.8;2019;3;Eurostat
39;IPC anual año a año;0.8;2019;4;Eurostat
40;IPC anual año a año;0.8;2019;5;Eurostat
41;IPC anual año a año;0.8;2019;6;Eurostat
42;IPC anual año a año;0.8;2019;7;Eurostat
43;IPC anual año a año;0.8;2019;8;Eurostat
44;IPC anual año a año;0.8;2019;9;Eurostat
45;IPC anual año a año;0.8;2019;10;Eurostat
46;IPC anual año a año;0.8;2019;11;Eurostat
47;IPC anual año a año;0.8;2019;12;Eurostat
48;Ind. prec. agrícolas trimestre a trimestre;15.09;2017;1;Eurostat
49;Ind. prec. agrícolas trimestre a trimestre;15.09;2017;2;Eurostat
50;Ind. prec. agrícolas trimestre a trimestre;15.09;2017;3;Eurostat
51;Ind. prec. agrícolas trimestre a trimestre;30.89;2017;4;Eurostat
